,SymbolsA,EntrezsA,AveExpr,B
218924_s_at,CTBS,1486,7.55698298456728,-1.16699848252702
219403_s_at,HPSE,10855,8.14425957490548,-1.16881420540183
206734_at,JRKL,8690,6.19075293649031,-1.18110161313952
218567_x_at,DPP3,10072,9.57534289294015,-1.18448810779933
211675_s_at,MDFIC,29969,9.58681562914598,-1.19934300810586
203343_at,UGDH,7358,10.5678101256901,-1.19977500600599
201628_s_at,RRAGA,10670,10.643425072981,-1.20220607997554
219598_s_at,RWDD1,51389,10.0017241198467,-1.20364406640791
209146_at,MSMO1,6307,9.1634913729932,-1.20656286419165
204579_at,FGFR4,2264,6.83433641361012,-1.21198062133209
213410_at,EDRF1,26098,8.03445998912617,-1.2131829507787
202641_at,ARL3,403,9.38960887535031,-1.21723825703971
215856_at,SIGLEC15,284266,7.70055357202918,-1.21795685979449
213137_s_at,PTPN2,5771,8.52193376784786,-1.22666368675984
204700_x_at,DIEXF,27042,8.38265542225371,-1.22942874874089
221669_s_at,ACAD8,27034,7.03458651211251,-1.23031841597277
201738_at,EIF1B,10289,10.2000829535308,-1.23254785209451
204748_at,PTGS2,5743,5.23474020161374,-1.23877460719183
210889_s_at,FCGR2B,2213,8.11083023082971,-1.24010134763356
203026_at,ZBTB5,9925,9.10855229213928,-1.24286082635517
204165_at,WASF1,8936,7.17062228633158,-1.24526115212586
210147_at,ART3,419,5.55831853372194,-1.25068706137742
206746_at,BFSP1,631,6.81079387520371,-1.26258232693178
219607_s_at,MS4A4A,51338,8.88781575416439,-1.27007805482257
204168_at,MGST2,4258,10.0995396667074,-1.27393733381741
219540_at,ZNF267,10308,7.73301136937126,-1.27622886472326
219257_s_at,SPHK1,8877,8.98224807052509,-1.27909388828656
214974_x_at,CXCL5,6374,6.2506461794607,-1.28217952183049
202161_at,PKN1,5585,7.30839923648064,-1.29026610948615
209800_at,KRT16,3868,6.0441881017867,-1.29033538847874
213581_at,PDCD2,5134,8.31573885823388,-1.29316392847777
200600_at,MSN,4478,9.39817982519781,-1.29355502783793
200762_at,DPYSL2,1808,10.2492057431382,-1.29554738359973
219286_s_at,RBM15,64783,10.1583453198562,-1.29735286299855
218800_at,SRD5A3,79644,5.15261093088749,-1.30101805766914
202087_s_at,CTSL,1514,11.4587885826739,-1.30462687212169
203434_s_at,MME,4311,7.07752699319516,-1.30639055342335
220177_s_at,TMPRSS3,64699,6.95595535578714,-1.32640551811044
209122_at,PLIN2,123,10.784317164818,-1.34149658759157
204306_s_at,CD151,977,9.14143670259095,-1.35045454386813
207828_s_at,CENPF,1063,9.20480394382919,-1.35169330474212
221882_s_at,TMEM8A,58986,7.61540825384004,-1.35275212917818
214295_at,KIAA0485,57235,7.18833284275575,-1.35466601341338
209343_at,EFHD1,80303,10.6184262690563,-1.35956082312924
221959_at,FAM110B,90362,8.3016636150114,-1.37817415757415
210176_at,TLR1,7096,6.45261837657063,-1.38406503858837
212071_s_at,SPTBN1,6711,10.3289432572779,-1.38962530605643
218345_at,TMEM176A,55365,10.1654846316119,-1.39412615894537
204633_s_at,RPS6KA5,9252,7.81716547874427,-1.40032722816495
218349_s_at,ZWILCH,55055,7.61610741563817,-1.40041028331297
204023_at,RFC4,5984,9.64609087089934,-1.40368733918576
218511_s_at,PNPO,55163,7.92687040972236,-1.40706852834063
204434_at,SPATA2,9825,7.62834533005466,-1.42126294921021
201339_s_at,SCP2,6342,11.1461459681161,-1.42405439431041
214844_s_at,DOK5,55816,8.31049135452594,-1.42851989993017
218330_s_at,NAV2,89797,7.38028890650585,-1.42951330709874
204785_x_at,IFNAR2,3455,8.8323570537509,-1.43444630163678
